vx,vz
# Ensemble de particules : N = 160 | d = 3.3e-10 | E_0 = 1.19e-21 | taille = 3.99e-10 | masse = 6.63e-26
-108.926,-0.35575
65.9384,-238.644
-137.115,-280.496
-28.9722,102.583
6.70239,-193.754
-69.421,-178.787
159.597,139.917
157.845,196.043
-21.7106,194.952
-53.0267,12.5342
44.4567,-94.7642
185.371,206.425
33.3409,-138.187
-112.432,35.0561
130.867,-115.425
34.961,-101.139
147.558,40.1004
69.8108,-66.4554
199.231,-63.6334
87.8864,-113.783
58.506,-195.723
190.194,-80.4649
62.1015,-60.4211
81.2837,-84.2034
95.4055,-149.971
-74.8418,-214.282
79.2524,204.12
-45.6002,142.418
-44.7343,-52.4467
-3.99889,126.224
-25.5555,173.907
68.8467,196.111
104.876,-196.133
97.6689,15.8016
5.21882,-160.695
87.4177,53.8905
-88.1459,-49.7357
224.963,-104.574
-220.314,64.9466
290.989,15.3253
-48.0611,-188.169
60.7014,-93.6173
-171.833,-30.3806
202.636,114.334
5.34456,-52.328
157.162,153.209
-6.0244,154.549
-119.612,7.90312
204.005,-33.8872
50.3597,111.2
-12.1686,119.966
-101.763,113.668
-111.949,-285.276
102.629,70.3256
-76.1327,-19.0954
169.142,75.7024
98.0764,-143.684
241.709,-11.876
-57.1308,174.607
0.790298,2.64231
138.659,-138.281
-5.93593,199.726
-187.084,16.778
28.2763,-105.828
37.7887,-51.4627
-49.8327,-129.238
-62.0285,-177.965
87.1931,45.4018
216.393,-121.093
-59.837,93.994
71.3781,51.029
-32.6989,175.546
-68.3114,131.366
110.56,147.106
-17.662,-205.062
-88.9941,113.552
33.0358,111.652
-38.7571,134.315
-16.7931,-77.6516
26.2441,100.469
11.1994,234.322
12.4232,-160.03
-284.144,68.5702
-365.811,-112.666
24.7145,-68.4753
6.84258,-26.7668
-137.931,35.4282
14.1446,-136.602
-22.2937,-55.654
-29.2203,43.2215
279.836,-45.7569
236.629,-100.488
-129.391,253.06
51.9581,32.7062
164.246,146.359
28.8043,39.8864
96.4256,343.798
19.0167,-38.772
389.714,-183.721
25.9111,-79.7035
194.394,72.5448
184.561,-3.07728
-83.3777,-4.7262
-113.322,-106.222
-58.575,85.0647
93.8816,-12.0145
260.49,-119.539
135.249,-79.7915
71.0351,49.0718
55.2532,121.642
211.835,-118.717
-31.0932,27.8088
160.251,-53.3163
-162.148,-128.142
169.112,71.1555
-75.5442,32.215
79.1029,117.576
-189.646,-51.4036
-30.4988,-265.44
-163.368,-289.122
117.861,-72.0686
94.5698,163.047
3.37434,-28.8692
-14.8429,-47.7847
88.6638,61.7216
-173.918,167.433
41.4328,-124.822
136.725,-174.679
61.3505,-118.427
71.7604,52.3326
62.3827,-164.604
65.4075,2.33784
-22.4677,129.158
-169.667,-112.743
-259.003,-277.972
49.7743,-129.446
-41.6952,11.9598
-245.77,-175.975
57.8646,-71.4012
12.6154,48.9454
97.1464,48.7733
109.145,60.4967
109.075,207.877
252.24,223.46
-87.8761,64.7114
86.802,-63.2149
-96.576,1.39596
-144.252,-95.3313
15.6704,-234.301
-50.9937,242.547
-25.8077,-84.7643
-26.3592,-168.568
204.351,-405.593
3.6852,-99.5086
-111.592,154.78
