x,z,taille
# Ensemble de particules : N = 160 | d = 3.3e-10 | E_0 = 1.19e-21 | taille = 3.99e-10 | masse = 6.63e-26
-1.89291e-08,-4.50891e-08,3.99e-10
-1.59152e-08,-6.7268e-08,3.99e-10
1.21588e-08,-1.32875e-08,3.99e-10
-2.10691e-08,-6.26788e-08,3.99e-10
3.56982e-08,-2.93509e-08,3.99e-10
2.36681e-08,-7.76835e-08,3.99e-10
3.80788e-08,-4.54589e-08,3.99e-10
2.3713e-08,-5.52295e-08,3.99e-10
-2.90911e-08,-4.19208e-08,3.99e-10
3.99461e-10,-4.68013e-08,3.99e-10
-1.83893e-08,-6.78933e-08,3.99e-10
-3.29246e-08,-4.12924e-08,3.99e-10
-3.70081e-08,-5.81312e-08,3.99e-10
-7.37366e-09,-3.69659e-08,3.99e-10
-1.36941e-08,-5.21046e-08,3.99e-10
-1.56137e-08,-5.51021e-08,3.99e-10
-2.49517e-08,-2.13654e-08,3.99e-10
1.03172e-08,-3.35416e-08,3.99e-10
-2.72124e-08,-6.50281e-08,3.99e-10
2.16849e-08,-4.99241e-08,3.99e-10
2.11454e-08,-1.00047e-08,3.99e-10
3.31558e-09,-5.69991e-08,3.99e-10
2.17032e-08,-5.37529e-08,3.99e-10
-4.88589e-10,-4.03827e-08,3.99e-10
1.75179e-08,-3.27052e-08,3.99e-10
-9.14416e-09,-2.24925e-08,3.99e-10
-1.13836e-08,-1.7945e-08,3.99e-10
-1.19521e-08,-4.62871e-08,3.99e-10
1.42272e-08,-3.98436e-08,3.99e-10
2.19516e-08,-1.90715e-08,3.99e-10
3.04183e-08,-6.02799e-08,3.99e-10
-1.52008e-08,-4.61313e-08,3.99e-10
3.60114e-08,-3.12802e-08,3.99e-10
1.98998e-08,-2.87105e-08,3.99e-10
1.06166e-08,-2.79619e-08,3.99e-10
7.19189e-09,-3.31431e-08,3.99e-10
2.60971e-08,-3.99278e-08,3.99e-10
3.2224e-08,-5.30327e-08,3.99e-10
2.43684e-08,-2.36004e-08,3.99e-10
-1.06961e-08,-2.31297e-08,3.99e-10
2.20305e-08,-5.9001e-08,3.99e-10
2.39339e-08,-4.8397e-08,3.99e-10
-2.32782e-08,-4.6301e-08,3.99e-10
-3.02651e-08,-6.25264e-08,3.99e-10
3.03643e-08,-2.74497e-08,3.99e-10
-4.10316e-09,-1.03796e-08,3.99e-10
3.78082e-08,-3.53968e-08,3.99e-10
2.97562e-08,-5.13166e-08,3.99e-10
3.13375e-08,-9.32078e-09,3.99e-10
-3.09314e-09,-6.88987e-08,3.99e-10
-1.66763e-08,-1.79901e-08,3.99e-10
7.46758e-09,-3.54027e-08,3.99e-10
2.95582e-08,-1.28455e-08,3.99e-10
3.18424e-08,-3.61615e-08,3.99e-10
-1.97348e-08,-6.14477e-08,3.99e-10
-2.59662e-08,-2.23112e-08,3.99e-10
-2.37463e-08,-4.05025e-08,3.99e-10
-3.00575e-08,-6.46351e-08,3.99e-10
1.77655e-09,-8.6366e-09,3.99e-10
1.82468e-08,-6.81734e-08,3.99e-10
-7.75638e-09,-5.53354e-08,3.99e-10
-1.94697e-08,-1.53282e-08,3.99e-10
3.00625e-08,-1.44832e-08,3.99e-10
3.83644e-08,-4.25591e-08,3.99e-10
2.1054e-08,-1.93014e-08,3.99e-10
3.68661e-09,-2.77365e-08,3.99e-10
2.1533e-08,-6.16605e-08,3.99e-10
1.66164e-08,-1.95943e-08,3.99e-10
5.0526e-09,-6.65851e-08,3.99e-10
-8.09743e-09,-2.76516e-08,3.99e-10
-8.01223e-09,-2.15052e-08,3.99e-10
3.31286e-08,-2.66732e-08,3.99e-10
2.37907e-08,-5.59664e-08,3.99e-10
-1.3563e-08,-1.44446e-08,3.99e-10
1.13643e-08,-5.35885e-08,3.99e-10
3.6091e-08,-1.04469e-08,3.99e-10
-3.73641e-08,-5.00827e-08,3.99e-10
-1.51161e-08,-5.44677e-08,3.99e-10
-2.32205e-09,-5.03007e-08,3.99e-10
3.19214e-08,-5.33596e-08,3.99e-10
2.94812e-08,-7.03277e-08,3.99e-10
3.42249e-08,-4.55259e-08,3.99e-10
1.61308e-08,-7.13313e-08,3.99e-10
3.60206e-08,-5.55334e-08,3.99e-10
-3.874e-08,-6.5475e-08,3.99e-10
3.45909e-08,-6.89454e-08,3.99e-10
-3.55122e-08,-5.77636e-08,3.99e-10
-3.49391e-09,-2.87763e-08,3.99e-10
3.50671e-09,-1.27542e-08,3.99e-10
1.6668e-08,-3.34631e-08,3.99e-10
1.04566e-08,-2.72589e-08,3.99e-10
-3.75241e-08,-7.07262e-08,3.99e-10
-2.26677e-08,-4.57586e-08,3.99e-10
3.39677e-08,-2.76428e-08,3.99e-10
9.47776e-09,-1.54877e-08,3.99e-10
-2.04291e-08,-5.90528e-08,3.99e-10
-3.77206e-08,-2.67795e-08,3.99e-10
1.34042e-08,-2.66682e-08,3.99e-10
-3.0355e-08,-1.15986e-08,3.99e-10
-1.38718e-08,-6.68659e-08,3.99e-10
-1.83682e-08,-7.24589e-08,3.99e-10
-2.71645e-08,-3.28169e-08,3.99e-10
1.18823e-08,-3.85601e-08,3.99e-10
-1.40635e-08,-4.20747e-08,3.99e-10
