vx,vz
# Ensemble de particules : N = 160 | d = 3.3e-10 | E_0 = 1.19e-21 | taille = 3.99e-10 | masse = 6.63e-26
153.822,88.285
185.526,239.855
50.4684,-70.4081
-57.4264,96.906
131.272,133.446
-3.13925,133.318
-114.349,58.7687
-198.423,28.9533
-146.147,238.277
194.479,-100.546
177.724,-55.1043
-43.9669,149.337
18.0307,240.458
-356.976,73.8709
-76.5865,247.896
101.456,148.424
-107.644,-100.829
-2.93716,138.082
271.546,-62.2825
-121.368,71.1891
-85.1756,154.573
-88.2607,-111.755
-93.8777,-198.187
-121.731,180.353
16.5418,-150.275
221.64,-141.184
-18.7505,-177.708
-126.858,-98.7444
-138.064,-143.508
-80.0666,78.0427
-140.997,-130.995
-62.7154,-60.3837
222.223,177.235
-17.7184,-24.6758
-20.0724,-243.122
-20.7178,48.544
108.843,42.7092
319.489,-14.2392
-25.2386,-120.738
-96.7263,-66.3149
-110.662,49.3818
-242.318,-199.033
-139.079,-63.3637
22.99,-173.213
90.2588,-228.518
-284.21,67.9043
125.677,-172.234
-42.79,44.9651
-133.773,35.323
-172.648,173.878
-81.8571,12.0586
5.92091,39.9363
-294.266,53.4396
-140.341,24.8114
-75.0604,20.8048
-101.562,350.415
91.3229,-30.4232
30.0986,-28.9884
-155.959,-6.29974
118.101,94.1893
161.229,-43.5974
-181.477,48.3135
257.191,296.389
-170.012,-105.475
-241.962,-156.467
-118.678,-41.7376
-234.491,16.0139
10.5974,73.936
158.323,245.273
-51.8562,52.4736
-54.5773,84.6099
-52.1108,122.105
65.6802,-270.638
-25.5441,64.6352
86.6285,10.9817
1.40468,20.6669
-107.058,-110.03
-5.246,31.8439
231.926,190.067
50.6631,-95.0895
88.3471,-90.7508
-136.284,142.196
117.176,35.2883
-78.3089,-93.9222
43.9901,-3.73675
33.836,-111.682
-211.004,272.549
-233.356,20.8713
-202.467,-16.4455
111.13,140.089
192.742,-86.486
-21.3027,-39.9362
-338.178,137.137
-155.607,-1.93762
-77.4448,-44.3118
86.4725,50.2233
-59.7954,-101.263
0.971903,320.084
-235.419,-62.7191
20.3737,-86.1741
-95.3636,-14.7026
-26.1443,26.4764
256.565,38.6049
-146.64,-240.983
105.003,160.286
-14.8456,188.239
63.0281,-45.4621
-34.4874,-106.66
-53.219,-81.4828
-188.763,68.5217
67.9871,31.2054
-12.3874,182.776
111.418,34.1937
41.9437,-55.4514
143.618,134.869
-49.9721,138.956
80.1384,199.796
8.34308,120.149
23.6218,115.859
-43.7564,-209.985
-78.7034,-198.781
9.31372,93.2657
145.561,-23.894
59.6086,-2.7133
15.2047,-106.057
-131.717,-94.7624
104.511,-121.002
23.3963,143.534
60.1092,50.2519
-39.1633,-24.9126
184.249,-150.353
118.27,-208.966
43.7732,-97.0023
-76.2065,180.199
-15.4927,-36.3894
-121.92,-228.691
40.5031,76.9688
149.389,-81.1588
-86.849,23.6962
184.832,72.278
-104.495,-41.2321
48.5034,-98.6923
-157.914,-142.085
-85.938,-20.3849
-97.7966,166.786
-270.377,70.1611
152.178,-35.1708
-46.7241,-321.585
41.38,158.303
-41.5704,-191.862
-258.233,192.17
88.4257,179.803
-204.149,327.846
-87.9704,-68.0209
55.4514,52.5148
-59.1773,-99.1329
56.4309,53.3171
30.4261,82.8852
169.536,-100.502
-133.119,117.672


# Ensemble de particules : N = 7900 | d = 3.3e-10 | E_0 = 1.19e-21 | taille = 3.99e-10 | masse = 6.63e-26
-181.423,-133.377
43.1097,-15.2516
203.465,-203.859
84.5917,50.9741
40.2104,-366.073
81.759,-229.782
288.463,-57.7505
-6.80585,-298.323
6.82064,-114.883
-123.511,-289.507
-238.106,-3.70346
93.1882,120.276
-110.529,-46.129
-39.1279,-24.7388
-24.2634,39.0931
-217.683,158.099
13.9272,30.9295
136.378,-25.4628
152.061,-69.6148
-28.8628,60.5029
-34.8409,-142.852
80.4096,-136.171
-72.485,201.574
-30.7863,-31.9396
-6.84385,-156.693
100.337,-25.1427
-16.9972,66.2268
119.898,-143.276
5.53336,76.7963
281.688,-165.332
97.1462,-112.74
130.933,23.3297
145.807,-365.314
-370.183,-91.5631
141.121,-13.8278
54.6647,66.3014
149.138,86.929
-110.276,239.822
-148.871,-105.499
103.17,-42.0522
-221.031,-122.586
-110.359,-111.132
216.577,59.4143
36.1446,159.569
-65.599,-37.9909
-144.894,-67.2627
227.563,-243.658
-6.11085,90.9798
-15.2355,168.382
-56.3053,-0.423181
351.289,-141.29
1.82048,-58.1279
-137.766,126.618
112.757,-64.7657
1.88995,153.284
-273.566,145.551
84.5685,59.2669
100.668,-260.207
-174.478,349.752
18.1014,42.9563
-95.5799,159.471
-130.835,17.1575
-26.8752,137.309
202.285,-154.208
141.405,198.725
-153.103,-25.3553
4.23309,102.781
-101.454,-224.871
-35.9364,-40.1864
-39.9328,-180.094
94.5701,-33.3665
32.0497,-95.3563
-127.697,77.86
191.56,246.158
-149.886,-5.91158
4.99479,-61.657
54.8785,-10.4155
202.545,-333.758
-279.846,260.532
114.47,58.2898
192.581,-79.8758
-177.9,-267.809
-23.763,52.0554
31.4261,-61.5973
-90.0554,10.2883
176.716,-26.0231
13.9727,-18.8602
101.412,210.81
-11.1091,204.012
73.4214,244.168
-277.16,-82.1367
-3.56304,-100.795
-238.591,154.146
27.4962,55.0458
-20.4495,-147.405
-74.4752,51.8108
104.921,-151.518
-155.533,36.581
-47.2297,-90.5592
-263.963,192.216
-59.0453,-0.69955
97.2398,-63.304
-302.896,1.94259
-5.13054,-245.443
194.716,-128.819
39.2323,266.028
-144.734,152.095
27.8877,108.13
203.241,194.864
145.358,-104.61
64.487,190.993
-117.397,-133.819
-40.2527,68.3267
-20.3858,-22.8035
-138.68,-22.9455
-126.631,10.5965
127.821,-114.927
-24.925,28.1276
163.403,151.028
148.498,74.412
-13.5937,-97.0552
-322.367,-223.08
24.4156,109.516
57.6856,-18.7377
37.562,-95.2924
13.2932,-71.68
-11.8357,2.56565
15.332,-1.27637
-100.711,-3.09451
-208.058,-76.5466
207.195,31.3614
40.9018,142.941
226.486,86.4098
-44.1883,93.5334
6.3415,-72.8914
244.402,-22.9039
93.074,148.822
84.6536,4.79293
-121.233,8.971
92.0216,159.622
128.066,9.18546
-90.7346,51.6957
-107.271,143.336
34.8343,66.5513
261.635,-14.3902
178.25,-258.157
-115.204,45.5983
-246.804,-82.2384
-2.01001,-258.658
14.0548,-15.1386
152.451,7.62066
20.8128,257.412
136.803,-44.0386
40.5552,109.661
-120.112,96.5895
313.969,74.2649
-76.6372,-37.3554
217.836,-83.8696
-131.74,-173.394
96.1265,-86.037
-312.326,-35.0122
183.285,-58.061
117.532,-66.6324
-50.5506,-254.05
-254.221,25.3989
-236.764,-94.7377
116.507,319.772
94.6738,2.40945
185.32,-118.018
-144.678,-63.7263
-41.2463,71.6566
-23.1408,-196.341
-131.692,-87.8123
54.3891,75.1248
-281.471,-135.791
81.7588,-173.644
6.2238,-1.35481
-177.425,-84.1589
-35.5346,421.072
66.9878,-99.1742
-295.332,-83.801
-150.188,74.0966
-34.4571,-10.7894
-194.77,29.5545
12.0246,-22.805
-42.3797,-82.6152
55.2598,-152.689
81.1289,-106.163
-94.3509,-33.8575
-24.3606,-63.4476
88.4219,327.388
88.8335,-102.593
-184.284,-140.631
-135.51,12.7021
-26.5605,49.7456
78.7404,-76.6049
166.2,-204.633
61.6561,124.057
-227.306,49.4964
62.138,91.7806
178.686,84.5228
-23.7872,-46.4221
46.6654,184.721
-43.8086,76.6161
138.053,-63.7075
-111.757,-151.522
-1.63237,60.8488
-78.2877,-184.021
